styrk08_4_code;styrk08_04_name;styrk08_3_code;styrk08_3_name;styrk08_2_code;styrk08_2_name;styrk08_1_code;styrk08_1_ name;;;;;
0000;Uoppgitt / yrker som ikke kan identifiseres;000;Uoppgitt / yrker som ikke kan identifiseres;00;Uoppgitt / yrker som ikke kan identifiseres;0;Militære yrker og uoppgitt;;;;;
0110;Offiserer fra fenrik og høyere grad;011;Offiserer fra fenrik og høyere grad;01;Offiserer fra fenrik og høyere grad;0;Militære yrker og uoppgitt;;;;;
0210;Befal med sersjant grad;021;Befal med sersjant grad;02;Befal med sersjant grad;0;Militære yrker og uoppgitt;;;;;
0310;Menige;031;Menige;03;Menige;0;Militære yrker og uoppgitt;;;;;
1111;Politikere;111;Politikere og toppledere i offentlig administrasjon;11;Politikere og toppledere;1;Ledere;;;;;
1112;Toppledere i offentlig administrasjon;111;Politikere og toppledere i offentlig administrasjon;11;Politikere og toppledere;1;Ledere;;;;;
1114;Toppledere i interesseorganisasjoner;111;Politikere og toppledere i offentlig administrasjon;11;Politikere og toppledere;1;Ledere;;;;;
1120;Administrerende direktører;112;Administrerende direktører;11;Politikere og toppledere;1;Ledere;;;;;
1211;Finans- og økonomisjefer;121;Ledere av administrative enheter;12;Administrative og merkantile ledere;1;Ledere;;;;;
1212;Personalsjefer;121;Ledere av administrative enheter;12;Administrative og merkantile ledere;1;Ledere;;;;;
1213;Strategi- og planleggingssjefer;121;Ledere av administrative enheter;12;Administrative og merkantile ledere;1;Ledere;;;;;
1219;Andre administrative ledere;121;Ledere av administrative enheter;12;Administrative og merkantile ledere;1;Ledere;;;;;
1221;Salgs- og markedssjefer;122;Ledere av salgs-, PR- og forskningsenheter;12;Administrative og merkantile ledere;1;Ledere;;;;;
1222;PR- og informasjonssjefer;122;Ledere av salgs-, PR- og forskningsenheter;12;Administrative og merkantile ledere;1;Ledere;;;;;
1223;Forsknings- og utviklingsledere;122;Ledere av salgs-, PR- og forskningsenheter;12;Administrative og merkantile ledere;1;Ledere;;;;;
1311;Ledere i skogbruk, gartnerier mv.;131;Ledere i gartnerier, akvakultur mv.;13;Ledere av enheter for vareproduksjon og tjenesteyting;1;Ledere;;;;;
1312;Ledere innen akvakultur mv.;131;Ledere i gartnerier, akvakultur mv.;13;Ledere av enheter for vareproduksjon og tjenesteyting;1;Ledere;;;;;
