Land;Landskode;2delt verden;Verdensdel
Norge;0;Norge;Norge1
Danmark;101;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
GrÃ¸nland;102;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Finland;103;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
FÃ¦rÃ¸yene;104;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Island;105;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Sverige;106;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Albania;111;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Europeiske land utenom EU
Belgia;112;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Bulgaria;113;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Andorra;114;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Estland;115;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Frankrike;117;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Gibraltar;118;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Hellas;119;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Hviterussland;120;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Europeiske land utenom EU
Irland;121;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Kroatia;122;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Italia;123;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Latvia;124;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Malta;126;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Nederland;127;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Liechtenstein;128;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Luxembourg;129;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
Monaco;130;EU/EÃ˜S, USA, Canada, Australia og New Zealand;EU/EÃ˜S
