Land;Landskode;2delt verden;Verdensdel
Norge;000;Norge;Norge1
Danmark;101;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Grønland;102;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Finland;103;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Færøyene;104;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Island;105;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Sverige;106;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Albania;111;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EØS;Europeiske land utenom EU
Belgia;112;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Bulgaria;113;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Andorra;114;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Estland;115;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Frankrike;117;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Gibraltar;118;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Hellas;119;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Hviterussland;120;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EØS;Europeiske land utenom EU
Irland;121;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Kroatia;122;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Italia;123;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Latvia;124;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Malta;126;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Nederland;127;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Liechtenstein;128;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Luxembourg;129;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Monaco;130;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Polen;131;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Portugal;132;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Romania;133;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
San Marino;134;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Litauen;136;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Spania;137;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Moldova;138;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EØS;Europeiske land utenom EU
Storbritannia;139;EU/EØS, USA, Canada, Australia og New Zealand;Europeiske land utenom EU
Russland;140;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EØS;Europeiske land utenom EU
Sveits;141;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Tyrkia;143;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EØS;Asia med Tyrkia
Tyskland;144;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Slovenia;146;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Ukraina;148;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EØS;Europeiske land utenom EU
Ungarn;152;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
Østerrike;153;EU/EØS, USA, Canada, Australia og New Zealand;EU/EØS
