knummer_fra;kommunenavn_fra;kommunenr_2020;kommune_2020
3001;Halden;3001;Halden
0101;Halden (-2019);3001;Halden
3002;Moss;3002;Moss
0301;Oslo kommune;0301;Oslo
3003;Sarpsborg;3003;Sarpsborg
0104;Moss (-2019);3002;Moss
3004;Fredrikstad;3004;Fredrikstad
0105;Sarpsborg (1992-2019);3003;Sarpsborg
3005;Drammen;3005;Drammen
0136;Rygge (-2019);3002;Moss
3006;Kongsberg;3006;Kongsberg
0106;Fredrikstad (1994-2019);3004;Fredrikstad
3007;Ringerike;3007;Ringerike
0111;Hvaler (-2019);3011;Hvaler
3011;Hvaler;3011;Hvaler
0118;Aremark (-2019);3012;Aremark
3012;Aremark;3012;Aremark
1101;Eigersund;1101;Eigersund
3013;Marker;3013;Marker
0119;Marker (1964-2019);3013;Marker
3014;Indre Østfold;3014;Indre Østfold
0602;Drammen (-2019);3005;Drammen
3015;Skiptvet;3015;Skiptvet
0121;Rømskog (-2019);3026;Aurskog-Høland
3016;Rakkestad;3016;Rakkestad
0625;Nedre Eiker (-2019);3005;Drammen
3017;Råde;3017;Råde
0122;Trøgstad (-2019);3014;Indre Østfold
3018;Våler (Viken);3018;Våler (Viken)
0711;Svelvik (1964-2019);3005;Drammen
3019;Vestby;3019;Vestby
0123;Spydeberg (-2019);3014;Indre Østfold
3020;Nordre Follo;3020;Nordre Follo
0604;Kongsberg (-2019);3006;Kongsberg
3021;Ås;3021;Ås
0124;Askim (-2019);3014;Indre Østfold
3022;Frogn;3022;Frogn
1103;Stavanger;1103;Stavanger
3023;Nesodden;3023;Nesodden
0125;Eidsberg (-2019);3014;Indre Østfold
3024;Bærum;3024;Bærum
1141;Finnøy (-2019);1103;Stavanger
3025;Asker;3025;Asker
0127;Skiptvet (-2019);3015;Skiptvet
3026;Aurskog-Høland;3026;Aurskog-Høland
1142;Rennesøy (-2019);1103;Stavanger
3027;Rælingen;3027;Rælingen
0128;Rakkestad (-2019);3016;Rakkestad
3028;Enebakk;3028;Enebakk
0605;Ringerike (1977-2019);3007;Ringerike
3029;Lørenskog;3029;Lørenskog
0135;Råde (-2019);3017;Råde
3030;Lillestrøm;3030;Lillestrøm
0137;Våler (Østfold) (-2019);3018;Våler (Viken)
