kommunenr_src,kommunenavn_src,kommunenr_2020,kommune_2020,kommunenr_2024,kommuner_2024
3001,Halden,3001,Halden,3101,Halden
0101,Halden (-2019),3001,Halden,3101,Halden
0301,Oslo kommune,0301,Oslo,0301,Oslo
1101,Eigersund,1101,Eigersund,1101,Eigersund
3002,Moss,3002,Moss,3103,Moss
0104,Moss (-2019),3002,Moss,3103,Moss
0136,Rygge (-2019),3002,Moss,3103,Moss
1103,Stavanger,1103,Stavanger,1103,Stavanger
1141,Finnøy (-2019),1103,Stavanger,1103,Stavanger
1142,Rennesøy (-2019),1103,Stavanger,1103,Stavanger
1106,Haugesund,1106,Haugesund,1106,Haugesund
1102,Sandnes (-2019),1108,Sandnes,1108,Sandnes
1129,Forsand (-2019),1108,Sandnes,1108,Sandnes
3003,Sarpsborg,3003,Sarpsborg,3105,Sarpsborg
0105,Sarpsborg (1992-2019),3003,Sarpsborg,3105,Sarpsborg
1111,Sokndal,1111,Sokndal,1111,Sokndal
1112,Lund,1112,Lund,1112,Lund
1114,Bjerkreim,1114,Bjerkreim,1114,Bjerkreim
3004,Fredrikstad,3004,Fredrikstad,3107,Fredrikstad
0106,Fredrikstad (1994-2019),3004,Fredrikstad,3107,Fredrikstad
1119,Hå,1119,Hå,1119,Hå
1120,Klepp,1120,Klepp,1120,Klepp
0111,Hvaler (-2019),3011,Hvaler,3110,Hvaler
3011,Hvaler,3011,Hvaler,3110,Hvaler
1121,Time,1121,Time,1121,Time
1122,Gjesdal,1122,Gjesdal,1122,Gjesdal
3017,Råde,3017,Råde,3112,Råde
0135,Råde (-2019),3017,Råde,3112,Råde
1124,Sola,1124,Sola,1124,Sola
1127,Randaberg,1127,Randaberg,1127,Randaberg
3018,Våler (Viken),3018,Våler (Viken),3114,Våler
0137,Våler (Østfold) (-2019),3018,Våler (Viken),3114,Våler
1130,Strand,1130,Strand,1130,Strand
1133,Hjelmeland,1133,Hjelmeland,1133,Hjelmeland
3015,Skiptvet,3015,Skiptvet,3116,Skiptvet
0127,Skiptvet (-2019),3015,Skiptvet,3116,Skiptvet
1134,Suldal,1134,Suldal,1134,Suldal
1135,Sauda,1135,Sauda,1135,Sauda
3005,Drammen,3005,Drammen,3301,Drammen
0602,Drammen (-2019),3005,Drammen,3301,Drammen
0625,Nedre Eiker (-2019),3005,Drammen,3301,Drammen
0711,Svelvik (1964-2019),3005,Drammen,3301,Drammen
1144,Kvitsøy,1144,Kvitsøy,1144,Kvitsøy
1145,Bokn,1145,Bokn,1145,Bokn
1146,Tysvær,1146,Tysvær,1146,Tysvær
1149,Karmøy,1149,Karmøy,1149,Karmøy
3014,Indre Østfold,3014,Indre Østfold,3118,Indre Østfold
0122,Trøgstad (-2019),3014,Indre Østfold,3118,Indre Østfold
0123,Spydeberg (-2019),3014,Indre Østfold,3118,Indre Østfold
0124,Askim (-2019),3014,Indre Østfold,3118,Indre Østfold
0125,Eidsberg (-2019),3014,Indre Østfold,3118,Indre Østfold
0138,Hobøl (-2019),3014,Indre Østfold,3118,Indre Østfold
1151,Utsira,1151,Utsira,1151,Utsira
1160,Vindafjord,1160,Vindafjord,1160,Vindafjord
1505,Kristiansund,1505,Kristiansund,1505,Kristiansund
1502,Molde (-2019),1506,Molde,1506,Molde
1543,Nesset (-2019),1506,Molde,1506,Molde
1545,Midsund (1965-2019),1506,Molde,1506,Molde
1504,Ålesund (1977-2019),1507,Ålesund,1508,Ålesund
1523,Ørskog (1977-2019),1507,Ålesund,1508,Ålesund
1529,Skodje (-2019),1507,Ålesund,1508,Ålesund
1546,Sandøy (-2019),1507,Ålesund,1508,Ålesund
1511,Vanylven,1511,Vanylven,1511,Vanylven
3016,Rakkestad,3016,Rakkestad,3120,Rakkestad
0128,Rakkestad (-2019),3016,Rakkestad,3120,Rakkestad
1514,Sande (Møre og Romsdal),1514,Sande,1514,Sande
1515,Herøy (Møre og Romsdal),1515,Herøy (Møre og Romsdal),1515,Herøy (Møre og Romsdal)
3006,Kongsberg,3006,Kongsberg,3303,Kongsberg
0604,Kongsberg (-2019),3006,Kongsberg,3303,Kongsberg
1516,Ulstein,1516,Ulstein,1516,Ulstein
1517,Hareid,1517,Hareid,1517,Hareid
3013,Marker,3013,Marker,3122,Marker
0119,Marker (1964-2019),3013,Marker,3122,Marker
1520,Ørsta,1520,Ørsta,1520,Ørsta
1525,Stranda,1525,Stranda,1525,Stranda
0118,Aremark (-2019),3012,Aremark,3124,Aremark
3012,Aremark,3012,Aremark,3124,Aremark
1528,Sykkylven,1528,Sykkylven,1528,Sykkylven
1531,Sula,1531,Sula,1531,Sula
3007,Ringerike,3007,Ringerike,3305,Ringerike
0605,Ringerike (1977-2019),3007,Ringerike,3305,Ringerike
1532,Giske,1532,Giske,1532,Giske
1535,Vestnes,1535,Vestnes,1535,Vestnes
3024,Bærum,3024,Bærum,3201,Bærum
0219,Bærum (-2019),3024,Bærum,3201,Bærum
1539,Rauma,1539,Rauma,1539,Rauma
1547,Aukra,1547,Aukra,1547,Aukra
3025,Asker,3025,Asker,3203,Asker
0220,Asker (-2019),3025,Asker,3203,Asker
0627,Røyken (-2019),3025,Asker,3203,Asker
0628,Hurum (-2019),3025,Asker,3203,Asker
1554,Averøy,1554,Averøy,1554,Averøy
1557,Gjemnes,1557,Gjemnes,1557,Gjemnes
1560,Tingvoll,1560,Tingvoll,1560,Tingvoll
1563,Sunndal,1563,Sunndal,1563,Sunndal
3030,Lillestrøm,3030,Lillestrøm,3205,Lillestrøm
0226,Sørum (-2019),3030,Lillestrøm,3205,Lillestrøm
0227,Fet (-2019),3030,Lillestrøm,3205,Lillestrøm
0231,Skedsmo (-2019),3030,Lillestrøm,3205,Lillestrøm
1566,Surnadal,1566,Surnadal,1566,Surnadal
1573,Smøla,1573,Smøla,1573,Smøla
1576,Aure,1576,Aure,1576,Aure
1444,Hornindal (-2019),1577,Volda,1577,Volda
1519,Volda (-2019),1577,Volda,1577,Volda
3020,Nordre Follo,3020,Nordre Follo,3207,Nordre Follo
0213,Ski (1931-2019),3020,Nordre Follo,3207,Nordre Follo
0217,Oppegård (1915-2019),3020,Nordre Follo,3207,Nordre Follo
1524,Norddal (-2019),1578,Fjord,1578,Fjord
1526,Stordal (-2019),1578,Fjord,1578,Fjord
1548,Fræna (-2019),1579,Hustadvika,1579,Hustadvika
1551,Eide (-2019),1579,Hustadvika,1579,Hustadvika
1534,Haram (-2019),1507,Ålesund,1580,Haram
3033,Ullensaker,3033,Ullensaker,3209,Ullensaker
0235,Ullensaker (-2019),3033,Ullensaker,3209,Ullensaker
1804,Bodø,1804,Bodø,1804,Bodø
1805,Narvik (-2019),1806,Narvik,1806,Narvik
1850,Divtasvuodna - Tysfjord (-2019),1806,Narvik,1806,Narvik
3023,Nesodden,3023,Nesodden,3212,Nesodden
0216,Nesodden (-2019),3023,Nesodden,3212,Nesodden
3022,Frogn,3022,Frogn,3214,Frogn
0215,Frogn (-2019),3022,Frogn,3214,Frogn
3019,Vestby,3019,Vestby,3216,Vestby
0211,Vestby (-2019),3019,Vestby,3216,Vestby
3021,Ås,3021,Ås,3218,Ås
0214,Ås (-2019),3021,Ås,3218,Ås
3028,Enebakk,3028,Enebakk,3220,Enebakk
0229,Enebakk (-2019),3028,Enebakk,3220,Enebakk
3029,Lørenskog,3029,Lørenskog,3222,Lørenskog
0230,Lørenskog (1908-2019),3029,Lørenskog,3222,Lørenskog
0121,Rømskog (-2019),3026,Aurskog-Høland,3226,Aurskog-Høland
3026,Aurskog-Høland,3026,Aurskog-Høland,3226,Aurskog-Høland
0221,Aurskog-Høland (1966-2019),3026,Aurskog-Høland,3226,Aurskog-Høland
3027,Rælingen,3027,Rælingen,3224,Rælingen
0228,Rælingen (1929-2019),3027,Rælingen,3224,Rælingen
3034,Nes,3034,Nes,3228,Nes
0236,Nes (Akershus) (-2019),3034,Nes,3228,Nes
3032,Gjerdrum,3032,Gjerdrum,3230,Gjerdrum
0234,Gjerdrum (-2019),3032,Gjerdrum,3230,Gjerdrum
3031,Nittedal,3031,Nittedal,3232,Nittedal
0233,Nittedal (-2019),3031,Nittedal,3232,Nittedal
3054,Lunner,3054,Lunner,3234,Lunner
0533,Lunner (-2019),3054,Lunner,3234,Lunner
3053,Jevnaker,3053,Jevnaker,3236,Jevnaker
0532,Jevnaker (-2019),3053,Jevnaker,3236,Jevnaker
3036,Nannestad,3036,Nannestad,3238,Nannestad
0238,Nannestad (-2019),3036,Nannestad,3238,Nannestad
3035,Eidsvoll,3035,Eidsvoll,3240,Eidsvoll
