statistikkvariabel,År,Kvartal,Måned,Dag,"11842: Fylkesveier. Tunneler, bruer og veisikring,"
Andel kilometer fylkesveg med dårlig eller svært dårlig dekketilstand i prosent av alle fylkesveier (prosent),2015,Kv 1,januar,1,113.5
Andel kilometer fylkesveg med dårlig eller svært dårlig dekketilstand i prosent av alle fylkesveier (prosent),2016,Kv 1,januar,1,102
Andel kilometer fylkesveg med dårlig eller svært dårlig dekketilstand i prosent av alle fylkesveier (prosent),2017,Kv 1,januar,1,92.7
Andel kilometer fylkesveg med dårlig eller svært dårlig dekketilstand i prosent av alle fylkesveier (prosent),2018,Kv 1,januar,1,95.3
Andel kilometer fylkesveg med dårlig eller svært dårlig dekketilstand i prosent av alle fylkesveier (prosent),2019,Kv 1,januar,1,87.19999999999999
Andel kilometer fylkesveg med dårlig eller svært dårlig dekketilstand i prosent av alle fylkesveier (prosent),2020,Kv 1,januar,1,28
Bruer med aksellast under 10 tonn (antall),2015,Kv 1,januar,1,153
Bruer med aksellast under 10 tonn (antall),2016,Kv 1,januar,1,151
Bruer med aksellast under 10 tonn (antall),2017,Kv 1,januar,1,134
Bruer med aksellast under 10 tonn (antall),2018,Kv 1,januar,1,135
Bruer med aksellast under 10 tonn (antall),2019,Kv 1,januar,1,131
Bruer med aksellast under 10 tonn (antall),2020,Kv 1,januar,1,134
Bruer på fylkesvei (antall),2015,Kv 1,januar,1,1416
Bruer på fylkesvei (antall),2016,Kv 1,januar,1,1437
Bruer på fylkesvei (antall),2017,Kv 1,januar,1,1448
Bruer på fylkesvei (antall),2018,Kv 1,januar,1,1458
Bruer på fylkesvei (antall),2019,Kv 1,januar,1,1477
Bruer på fylkesvei (antall),2020,Kv 1,januar,1,1523
Bruer på fylkesvei med høgdebegrensning under 4 meter (antall),2015,Kv 1,januar,1,1
Bruer på fylkesvei med høgdebegrensning under 4 meter (antall),2016,Kv 1,januar,1,1
Bruer på fylkesvei med høgdebegrensning under 4 meter (antall),2017,Kv 1,januar,1,1
Bruer på fylkesvei med høgdebegrensning under 4 meter (antall),2018,Kv 1,januar,1,1
Bruer på fylkesvei med høgdebegrensning under 4 meter (antall),2019,Kv 1,januar,1,1
Bruer på fylkesvei med høgdebegrensning under 4 meter (antall),2020,Kv 1,januar,1,1
Europa-/riksveier (km),2015,Kv 1,januar,1,1273
Europa-/riksveier (km),2016,Kv 1,januar,1,1288
Europa-/riksveier (km),2017,Kv 1,januar,1,1295
Europa-/riksveier (km),2018,Kv 1,januar,1,1294
Europa-/riksveier (km),2019,Kv 1,januar,1,1303
Europa-/riksveier (km),2020,Kv 1,januar,1,1307
Forsterket midtoppmerking utført på eksisterende og ny fylkesvei siste år (km),2015,Kv 1,januar,1,0
Forsterket midtoppmerking utført på eksisterende og ny fylkesvei siste år (km),2016,Kv 1,januar,1,3.7
Forsterket midtoppmerking utført på eksisterende og ny fylkesvei siste år (km),2017,Kv 1,januar,1,2.5
Forsterket midtoppmerking utført på eksisterende og ny fylkesvei siste år (km),2018,Kv 1,januar,1,2.6
Forsterket midtoppmerking utført på eksisterende og ny fylkesvei siste år (km),2019,Kv 1,januar,1,0
Forsterket midtoppmerking utført på eksisterende og ny fylkesvei siste år (km),2020,Kv 1,januar,1,0
Fylkesvei dekkelagt siste år (km),2015,Kv 1,januar,1,394.5
Fylkesvei dekkelagt siste år (km),2016,Kv 1,januar,1,406.9
Fylkesvei dekkelagt siste år (km),2017,Kv 1,januar,1,413.20000000000005
Fylkesvei dekkelagt siste år (km),2018,Kv 1,januar,1,370.70000000000005
Fylkesvei dekkelagt siste år (km),2019,Kv 1,januar,1,341
Fylkesvei dekkelagt siste år (km),2020,Kv 1,januar,1,317
Fylkesvei med 4 felt (km),2015,Kv 1,januar,1,12
Fylkesvei med 4 felt (km),2016,Kv 1,januar,1,13
Fylkesvei med 4 felt (km),2017,Kv 1,januar,1,13
Fylkesvei med 4 felt (km),2018,Kv 1,januar,1,15
Fylkesvei med 4 felt (km),2019,Kv 1,januar,1,16
Fylkesvei med 4 felt (km),2020,Kv 1,januar,1,16
Fylkesvei med dårlig eller svært dårlig dekketilstand (km),2015,Kv 1,januar,1,2015
Fylkesvei med dårlig eller svært dårlig dekketilstand (km),2016,Kv 1,januar,1,1809
Fylkesvei med dårlig eller svært dårlig dekketilstand (km),2017,Kv 1,januar,1,1649
Fylkesvei med dårlig eller svært dårlig dekketilstand (km),2018,Kv 1,januar,1,1701
Fylkesvei med dårlig eller svært dårlig dekketilstand (km),2019,Kv 1,januar,1,1554
Fylkesvei med dårlig eller svært dårlig dekketilstand (km),2020,Kv 1,januar,1,1541
Fylkesvei med fartsgrense 50 km/t eller lavere (km),2015,Kv 1,januar,1,941
Fylkesvei med fartsgrense 50 km/t eller lavere (km),2016,Kv 1,januar,1,939
Fylkesvei med fartsgrense 50 km/t eller lavere (km),2017,Kv 1,januar,1,930
Fylkesvei med fartsgrense 50 km/t eller lavere (km),2018,Kv 1,januar,1,934
Fylkesvei med fartsgrense 50 km/t eller lavere (km),2019,Kv 1,januar,1,929
Fylkesvei med fartsgrense 50 km/t eller lavere (km),2020,Kv 1,januar,1,961
Fylkesvei med forsterket midtoppmerking (rumlefelt) (m),2015,Kv 1,januar,1,10233
Fylkesvei med forsterket midtoppmerking (rumlefelt) (m),2016,Kv 1,januar,1,10233
Fylkesvei med forsterket midtoppmerking (rumlefelt) (m),2017,Kv 1,januar,1,10233
Fylkesvei med forsterket midtoppmerking (rumlefelt) (m),2018,Kv 1,januar,1,12633
Fylkesvei med forsterket midtoppmerking (rumlefelt) (m),2019,Kv 1,januar,1,12803
Fylkesvei med forsterket midtoppmerking (rumlefelt) (m),2020,Kv 1,januar,1,12833
Fylkesvei med tillatt aksellast under 10 tonn (km),2015,Kv 1,januar,1,923
Fylkesvei med tillatt aksellast under 10 tonn (km),2016,Kv 1,januar,1,902
Fylkesvei med tillatt aksellast under 10 tonn (km),2017,Kv 1,januar,1,837
Fylkesvei med tillatt aksellast under 10 tonn (km),2018,Kv 1,januar,1,807
Fylkesvei med tillatt aksellast under 10 tonn (km),2019,Kv 1,januar,1,786
Fylkesvei med tillatt aksellast under 10 tonn (km),2020,Kv 1,januar,1,793
"Fylkesvei med tillatt kjøretøylengde mindre enn 19,5 meter (km)",2015,Kv 1,januar,1,66
"Fylkesvei med tillatt kjøretøylengde mindre enn 19,5 meter (km)",2016,Kv 1,januar,1,67
"Fylkesvei med tillatt kjøretøylengde mindre enn 19,5 meter (km)",2017,Kv 1,januar,1,55
"Fylkesvei med tillatt kjøretøylengde mindre enn 19,5 meter (km)",2018,Kv 1,januar,1,43
"Fylkesvei med tillatt kjøretøylengde mindre enn 19,5 meter (km)",2019,Kv 1,januar,1,35
"Fylkesvei med tillatt kjøretøylengde mindre enn 19,5 meter (km)",2020,Kv 1,januar,1,36
Fylkesvei med tillatt totalvekt under 50 tonn (km),2015,Kv 1,januar,1,130
Fylkesvei med tillatt totalvekt under 50 tonn (km),2016,Kv 1,januar,1,130
Fylkesvei med tillatt totalvekt under 50 tonn (km),2017,Kv 1,januar,1,101
Fylkesvei med tillatt totalvekt under 50 tonn (km),2018,Kv 1,januar,1,78
Fylkesvei med tillatt totalvekt under 50 tonn (km),2019,Kv 1,januar,1,72
Fylkesvei med tillatt totalvekt under 50 tonn (km),2020,Kv 1,januar,1,73
Fylkesvei med årsdøgnstrafikk (ÅDT)>5 000 (km),2015,Kv 1,januar,1,581
Fylkesvei med årsdøgnstrafikk (ÅDT)>5 000 (km),2016,Kv 1,januar,1,585
Fylkesvei med årsdøgnstrafikk (ÅDT)>5 000 (km),2017,Kv 1,januar,1,600
Fylkesvei med årsdøgnstrafikk (ÅDT)>5 000 (km),2018,Kv 1,januar,1,608
Fylkesvei med årsdøgnstrafikk (ÅDT)>5 000 (km),2019,Kv 1,januar,1,600
Fylkesvei med årsdøgnstrafikk (ÅDT)>5 000 (km),2020,Kv 1,januar,1,613
Fylkesvei stedvis lappet siste år (km),2015,Kv 1,januar,1,33.4
Fylkesvei stedvis lappet siste år (km),2016,Kv 1,januar,1,68.7
Fylkesvei stedvis lappet siste år (km),2017,Kv 1,januar,1,7
Fylkesvei stedvis lappet siste år (km),2018,Kv 1,januar,1,2
Fylkesvei stedvis lappet siste år (km),2019,Kv 1,januar,1,12.5
Fylkesvei stedvis lappet siste år (km),2020,Kv 1,januar,1,1
Fylkesvei uten fast dekke (km),2015,Kv 1,januar,1,300
Fylkesvei uten fast dekke (km),2016,Kv 1,januar,1,301
Fylkesvei uten fast dekke (km),2017,Kv 1,januar,1,300
Fylkesvei uten fast dekke (km),2018,Kv 1,januar,1,299
Fylkesvei uten fast dekke (km),2019,Kv 1,januar,1,286
Fylkesvei uten fast dekke (km),2020,Kv 1,januar,1,292
Fylkesvei åpnet for trafikk siste år (km),2015,Kv 1,januar,1,1.6
Fylkesvei åpnet for trafikk siste år (km),2016,Kv 1,januar,1,13.5
Fylkesvei åpnet for trafikk siste år (km),2017,Kv 1,januar,1,4
Fylkesvei åpnet for trafikk siste år (km),2018,Kv 1,januar,1,0
Fylkesvei åpnet for trafikk siste år (km),2019,Kv 1,januar,1,8.7
Fylkesvei åpnet for trafikk siste år (km),2020,Kv 1,januar,1,0
Fylkesveier (km),2015,Kv 1,januar,1,5337
Fylkesveier (km),2016,Kv 1,januar,1,5339
Fylkesveier (km),2017,Kv 1,januar,1,5346
Fylkesveier (km),2018,Kv 1,januar,1,5353
Fylkesveier (km),2019,Kv 1,januar,1,5346
Fylkesveier (km),2020,Kv 1,januar,1,5495
"Fylkesveier uten fast dekke, ÅDT>5000 (km)",2015,Kv 1,januar,1,0
"Fylkesveier uten fast dekke, ÅDT>5000 (km)",2016,Kv 1,januar,1,0
"Fylkesveier uten fast dekke, ÅDT>5000 (km)",2017,Kv 1,januar,1,0
"Fylkesveier uten fast dekke, ÅDT>5000 (km)",2018,Kv 1,januar,1,0
"Fylkesveier uten fast dekke, ÅDT>5000 (km)",2019,Kv 1,januar,1,0
"Fylkesveier uten fast dekke, ÅDT>5000 (km)",2020,Kv 1,januar,1,0
Gang- og sykkelvei langs fylkesvei (km),2015,Kv 1,januar,1,496
Gang- og sykkelvei langs fylkesvei (km),2016,Kv 1,januar,1,559
Gang- og sykkelvei langs fylkesvei (km),2017,Kv 1,januar,1,583
Gang- og sykkelvei langs fylkesvei (km),2018,Kv 1,januar,1,600
Gang- og sykkelvei langs fylkesvei (km),2019,Kv 1,januar,1,613
Gang- og sykkelvei langs fylkesvei (km),2020,Kv 1,januar,1,655
Gang- og sykkelveier langs fylkesvei i byer>5 000 innbygere (km),2015,Kv 1,januar,1,147
Gang- og sykkelveier langs fylkesvei i byer>5 000 innbygere (km),2016,Kv 1,januar,1,147
Gang- og sykkelveier langs fylkesvei i byer>5 000 innbygere (km),2017,Kv 1,januar,1,185
Gang- og sykkelveier langs fylkesvei i byer>5 000 innbygere (km),2018,Kv 1,januar,1,181
Gang- og sykkelveier langs fylkesvei i byer>5 000 innbygere (km),2019,Kv 1,januar,1,181
Gang- og sykkelveier langs fylkesvei i byer>5 000 innbygere (km),2020,Kv 1,januar,1,199
Holdeplasser langs fylkesvei som er universelt utformet åpnet for trafikk siste år (antall),2015,Kv 1,januar,1,38
Holdeplasser langs fylkesvei som er universelt utformet åpnet for trafikk siste år (antall),2016,Kv 1,januar,1,42
Holdeplasser langs fylkesvei som er universelt utformet åpnet for trafikk siste år (antall),2017,Kv 1,januar,1,50
Holdeplasser langs fylkesvei som er universelt utformet åpnet for trafikk siste år (antall),2018,Kv 1,januar,1,50
Holdeplasser langs fylkesvei som er universelt utformet åpnet for trafikk siste år (antall),2019,Kv 1,januar,1,48
Holdeplasser langs fylkesvei som er universelt utformet åpnet for trafikk siste år (antall),2020,Kv 1,januar,1,56
Kollektivfelt langs fylkesvei (m),2015,Kv 1,januar,1,7336
Kollektivfelt langs fylkesvei (m),2016,Kv 1,januar,1,8803
Kollektivfelt langs fylkesvei (m),2017,Kv 1,januar,1,9233
Kollektivfelt langs fylkesvei (m),2018,Kv 1,januar,1,9237
Kollektivfelt langs fylkesvei (m),2019,Kv 1,januar,1,9811
Kollektivfelt langs fylkesvei (m),2020,Kv 1,januar,1,9239
Kommunal vei (km),2015,Kv 1,januar,1,6085
Kommunal vei (km),2016,Kv 1,januar,1,6090
Kommunal vei (km),2017,Kv 1,januar,1,6147
Kommunal vei (km),2018,Kv 1,januar,1,6165
Kommunal vei (km),2019,Kv 1,januar,1,6211
Kommunal vei (km),2020,Kv 1,januar,1,6408
Midtekkverk ferdig bygd på eksisterende og nye to og tre felts fylkesvei siste år (km),2015,Kv 1,januar,1,0
Midtekkverk ferdig bygd på eksisterende og nye to og tre felts fylkesvei siste år (km),2016,Kv 1,januar,1,0
Midtekkverk ferdig bygd på eksisterende og nye to og tre felts fylkesvei siste år (km),2017,Kv 1,januar,1,0
Midtekkverk ferdig bygd på eksisterende og nye to og tre felts fylkesvei siste år (km),2018,Kv 1,januar,1,0
Midtekkverk ferdig bygd på eksisterende og nye to og tre felts fylkesvei siste år (km),2019,Kv 1,januar,1,0
Midtekkverk ferdig bygd på eksisterende og nye to og tre felts fylkesvei siste år (km),2020,Kv 1,januar,1,0
Nye fire felts fylkesvei med fysisk atskilte kjørebaner åpnet for trafikk siste år (km),2015,Kv 1,januar,1,0
Nye fire felts fylkesvei med fysisk atskilte kjørebaner åpnet for trafikk siste år (km),2016,Kv 1,januar,1,0
Nye fire felts fylkesvei med fysisk atskilte kjørebaner åpnet for trafikk siste år (km),2017,Kv 1,januar,1,0
Nye fire felts fylkesvei med fysisk atskilte kjørebaner åpnet for trafikk siste år (km),2018,Kv 1,januar,1,0.7
Nye fire felts fylkesvei med fysisk atskilte kjørebaner åpnet for trafikk siste år (km),2019,Kv 1,januar,1,0
Nye fire felts fylkesvei med fysisk atskilte kjørebaner åpnet for trafikk siste år (km),2020,Kv 1,januar,1,0
Private veier (km),2015,Kv 1,januar,1,16535
Private veier (km),2016,Kv 1,januar,1,16529
Private veier (km),2017,Kv 1,januar,1,16720
Private veier (km),2018,Kv 1,januar,1,16751
Private veier (km),2019,Kv 1,januar,1,16824
Private veier (km),2020,Kv 1,januar,1,17194
Skredutsatte punkter utbedret siste år (antall),2015,Kv 1,januar,1,4
Skredutsatte punkter utbedret siste år (antall),2016,Kv 1,januar,1,3
Skredutsatte punkter utbedret siste år (antall),2017,Kv 1,januar,1,5
Skredutsatte punkter utbedret siste år (antall),2018,Kv 1,januar,1,0
Skredutsatte punkter utbedret siste år (antall),2019,Kv 1,januar,1,4
Skredutsatte punkter utbedret siste år (antall),2020,Kv 1,januar,1,11
Strekning tilrettelagt for gående og syklende siste år (km),2015,Kv 1,januar,1,19.8
Strekning tilrettelagt for gående og syklende siste år (km),2016,Kv 1,januar,1,19.400000000000002
Strekning tilrettelagt for gående og syklende siste år (km),2017,Kv 1,januar,1,5.9
Strekning tilrettelagt for gående og syklende siste år (km),2018,Kv 1,januar,1,12.799999999999999
Strekning tilrettelagt for gående og syklende siste år (km),2019,Kv 1,januar,1,7.6
Strekning tilrettelagt for gående og syklende siste år (km),2020,Kv 1,januar,1,14.6
